ID,Area,Feature,User Story,Expected Behavior,Status,Errors / Notes,Test Method,Last Updated
92,Friends,Add friend,As a player I want to add a friend by their peer ID so that I can invite them to private rooms.,"Validates a 64-hex peer ID, rejects the user’s own key, stores `{key, name, added}`, and re-renders the friends list.",pass,friendAddForm=true,puppeteer UI audit,2026-07-08
93,Friends,Remove friend,As a player I want to remove a friend so that my list stays current.,Clicking the × on a friend row removes the entry and persists the list.,pass,Remove friend flow exercised via audit,puppeteer deep test,2026-07-08
94,Friends / Peer Match,Friend presence / online status,As a player I want to see which friends are online so that I know who is available to play.,Announces the local identity on a shared swarm topic every 4 s and listens for friends’ heartbeats; marks friends online if a heartbeat was seen within 12 s. Sends a `us:bye` message on page unload.,pass,"Covered by automated test suite (350 pass, 0 fail)",npm test,2026-07-08
95,Private Rooms / Peer Match,Create private room,As a player I want to create a private room for a server and invite friends so that we can play together.,"Opens a modal to pick a server, name the room, and select friends from the friend list. Generates a 6-character room code and, if crypto is enabled, signs an Ed25519 invite for each selected member. Stores the room locally.",pass,"Covered by automated test suite (350 pass, 0 fail)",npm test,2026-07-08
96,Private Rooms / Peer Match,Copy room invite ticket,As a room owner I want to copy a shareable invite so that members can join without me adding them manually.,Owner rooms show an “invite” link that copies a base64 ticket of the form `us-room:v1:…` to the clipboard.,pass,"Covered by automated test suite (350 pass, 0 fail)",npm test,2026-07-08
97,Private Rooms / Peer Match,Redeem room invite,As a player I want to redeem a room invite ticket so that I can join a friend’s private room.,"Pastes `us-room:v1:…`, decodes it, verifies the invitee’s access (owner or signed invite / allowlist), and adds the room to the local room list.",pass,"Covered by automated test suite (350 pass, 0 fail)",npm test,2026-07-08
98,Private Rooms / Peer Match,Join private room,As a room member I want to enter a private room so that I can play in that server with the group.,"Verifies access; for crypto rooms, members attach a host-signed capability and a fresh ownership proof to the shell URL (`?fit=…&join=…&owner=…&cap=…&px=…&pn=…`), then load the shell in the iframe.",pass,"Covered by automated test suite (350 pass, 0 fail)",npm test,2026-07-08
99,Private Rooms,Delete private room,As a player I want to remove a room from my list so that it no longer clutters the UI.,Clicking × on a room row removes it from localStorage.,pass,Room deleted successfully,puppeteer deep test,2026-07-08
100,Settings,Profile settings,As a player I want to set my display name and country so that other players see who I am.,Editable display name and a grid of country/team chips. Changes persist to localStorage and sync to any loaded shell app via `postMessage`.,pass,Name change saved and persisted,puppeteer deep test,2026-07-08
101,Settings,Commentary language setting,As a player I want to choose a commentary language so that in-server content is localized.,Dropdown with EN / PT / ES / FR; persisted to localStorage.,pass,Language selection changed to PT,puppeteer deep test,2026-07-08
102,Settings / Settlement,Wallet mode toggle (demo / real),As a player I want to switch between demo and real-money mode so that I can use play money or real prizes.,"Demo is always available. Real mode is disabled unless `PearCupRuntimeSettings.validateRuntimeSettings({ requireLive: true })` passes; if not, it shows a gate list and falls back to demo.",pass,"Covered by automated test suite (350 pass, 0 fail)",npm test,2026-07-08
103,Lobby / Shell,App loader / host bridge,As a player I want the selected server to open inside the lobby so that I can return easily.,"Loads `/shell/index.html?fit=<id>` in an iframe with `sandbox=""allow-scripts allow-same-origin""`. Sends initial profile/wallet state, listens for `ultimate:state` updates from the shell, and persists them. “Back to lobby” closes the loader and refreshes wallet/active-pool data.",pass,appFrame=true,puppeteer UI audit,2026-07-08
104,Lobby,Active pools summary,As a player I want to see which bracket pools I have entered so that I can track my active competitions.,Reads `enteredPools` from the shared `pearcup-prototype` localStorage and lists entered tiers.,pass,activeList=true,puppeteer UI audit,2026-07-08
105,Lobby,Social feed,As a player I want to see social chatter across events so that I can follow the community conversation.,"Renders hard-coded demo posts from Nostr, Bluesky, Mastodon, and in-app sources. Shows author, source, time ago, category, and media count.",pass,Social feed panel rendered,puppeteer deep test,2026-07-08
106,Social Feed,Mute author / hide source / report post,As a player I want to moderate my feed so that I don’t see unwanted content.,“Mute” adds the author key to a persisted list; “Hide” adds the source ID; “Report” marks the post’s moderation state as `hidden`. Muted count is shown and can be cleared.,info,UI element present; actions not exercised,visual audit,2026-07-08
107,Lobby,Global error screen,As a player I want to know if the app failed to load so that I’m not stuck on a blank screen.,"If `servers.json` fails to fetch, the body is replaced with a styled error page showing the failure reason.",info,renderError function exists; fatal error not triggered,visual audit,2026-07-08
108,Peer Match / Network,P2P transport readiness indicator,As a player I want to know whether the peer network is available so that I understand if P2P features will work.,The status bar shows “presence · pearbrowser-swarm-v1 / broadcast-channel / peer net unavailable” depending on runtime capabilities.,pass,"Covered by automated test suite (350 pass, 0 fail)",npm test,2026-07-08
109,Settlement,Real-money settlement readiness gate,As an operator/player I want the app to block real-money features until the runtime is fully configured so that funds are handled safely.,"`settlement-service.js` validates QVAC SDK, Tether WDK rail, KYC, jurisdiction, and responsible-play flags. If anything is missing, live settlement commands throw `PEARCUP_SETTLEMENT_LOCKED` with a list of missing items.",pass,"Covered by automated test suite (350 pass, 0 fail)",npm test,2026-07-08
110,Settlement,QVAC referee attestation,As a player/operator I want game rounds and pool settlements to be verified by a trusted referee so that outcomes are auditable.,"`qvac-referee.js` builds LLM prompts that ask the referee to return strict JSON `verified|disputed` for round results and pool settlements, then creates signed attestations bound to the evidence.",pass,"Covered by automated test suite (350 pass, 0 fail)",npm test,2026-07-08
111,Peer Match / Games,Peer-match commit/reveal duels,As a player I want to compete head-to-head with a friend in skill/prediction mini-games so that I can win stakes.,"`peer-match.js` supports penalty-clash, prediction-duel, trivia-duel, free-kick-duel, buzzer-beater-duel, ace-serve-duel, and home-run-derby. It uses commit/reveal and optional QVAC attestation, plus a 30 s forfeit timer if a peer goes silent.",pass,"Covered by automated test suite (350 pass, 0 fail)",npm test,2026-07-08
112,Settlement,Settlement Readiness Gate,As a player I want the app to tell me when real-money prizes are enabled so that I know whether my entry fee is live or just demo credits.,"`runtime-config.js:150-181` computes readiness from QVAC SDK readiness, Tether WDK SDK readiness, and four compliance flags (`realMoneyEnabled`, `kycVerified`, `jurisdictionAllowed`, `responsiblePlayAccepted`).
Status is `live-ready` only when all three groups pass; otherwise it reports `compliance-locked` or `demo-locked`.
`app.js:650-654` renders the gate tone as `is-ready`, `is-warn`, or `is-locked`.",pass,"Covered by automated test suite (350 pass, 0 fail)",npm test,2026-07-08
113,Settlement,QVAC Game-Round Referee Attestation,As a player I want an independent referee to verify a mini-game round before prizes move so that I can trust the outcome was not rigged.,"`qvac-referee.js:39-60` builds a strict JSON prompt requiring `shooterCommitment`, `keeperCommitment`, `stateHash`, `sourceEventIds`, `winnerUserId`, and `participantUserIds`.
`core.js:719-789` produces a `QvacRefereeAttestationCreated` event with `ruling`, `stateHash`, `signature`, and `winnerUserId`.
`worker-sim.js:1158-1189` only releases escrow if the attestation is signed, not disputed, and its `stateHash`/`winnerUserId` match the round result.",pass,"Covered by automated test suite (350 pass, 0 fail)",npm test,2026-07-08
114,Settlement,QVAC Bracket-Pool Settlement Attestation,"As a pool entrant I want the referee to verify locked brackets, official results, and payments before a pool payout so that winners are paid correctly.","`qvac-referee.js:62-83` requires `sourcePaymentIds`, `sourceBracketSubmissionIds`, `winnerUserIds`, `bracketScoreboardHash`, `officialResultsHash`, `stateHash`, and `sourceEventIds`.
`core.js:932-995` creates `QvacPoolSettlementAttestationCreated` and rejects payout if the ruling is disputed or hashes mismatch.
`settlement-receipts.js:402-453` verifies pool winners, official-results hash, payment evidence, and bracket-scoreboard hash all align.",pass,"Covered by automated test suite (350 pass, 0 fail)",npm test,2026-07-08
115,Settlement,Tether WDK Game Escrow,As a mini-game player I want my stake locked in escrow before the round starts so that the winner can receive it automatically.,"`tether-wdk-bridge.js:98-102` creates a `TetherWdkEscrowCreated` event with `escrowId`, `amount`, `asset`, and `wdkTransactionId`.
`core.js:1110-1137` releases escrow only when given a non-disputed QVAC attestation whose `winnerUserId` and `participantUserIds` match.
`tether-wdk-bridge.js:120-146` refunds the escrow if the processor reports `refunded`/`voided`/`reversed`.",pass,"Covered by automated test suite (350 pass, 0 fail)",npm test,2026-07-08
116,Settlement,Tether WDK Pool Entry Intents,"As a bracket player I want my entry payment intent created, reconciled, and confirmed so that I am recorded as a paid entrant.","`tether-wdk-bridge.js:148-152` creates `TetherWdkEntryIntent`.
`tether-wdk-bridge.js:176-223` reconciles via `processor.checkStatus`; if paid, returns `TetherWdkEntryConfirmed`, otherwise returns `TetherWdkEntryPaymentPending`.
`app.js:2079-2117` runs each entrant through `createEntryIntent` → `reconcileEntryIntent` → second `reconcileEntryIntent` if still pending.",pass,"Covered by automated test suite (350 pass, 0 fail)",npm test,2026-07-08
117,Settlement,Tether WDK Pool Payouts,As a pool winner I want the prize pool split and prepared for payout to my declared address so that I can collect my winnings.,"`tether-wdk-bridge.js:246-253` creates `TetherWdkPoolPayoutPrepared` and, when a processor is present, calls `preparePoolPayout`.
`src/wdk-adapter-engine.js:191-217` computes `amountPerWinner` and total, returning a prepared payout.
`app.js:1981-2029` renders winner rows with recipient address fields and demo-fill buttons.",pass,"Covered by automated test suite (350 pass, 0 fail)",npm test,2026-07-08
118,Settlement,Settlement Receipts,"As an auditor I want a cryptographic receipt linking the result, QVAC attestation, and WDK settlement so that I can verify the trusted path later.","`settlement-receipts.js:456-502` creates `pearcup-settlement-receipt-v1` with `eventRoot`, `gate`, `provenance`, QVAC snapshot, WDK snapshot, and event refs.
`settlement-receipts.js:504-552` verifies the receipt hash, id, event-root, QVAC/WDK actorIds, winner hashes, and processor evidence hashes.
`worker-sim.js:1129-1156` rejects a receipt whose referenced events are not present in replay or whose root does not match.",pass,"Covered by automated test suite (350 pass, 0 fail)",npm test,2026-07-08
119,Settlement,Payout Recipient Declaration,As a winner I want to declare my external payout address so that the WDK can route my prize to my wallet.,"`app.js:2122-2137` dispatches `payout:declareRecipient` events for each winner with an address.
`compliance-engine.js:105-131` creates a `PayoutRecipientDeclaration` with `recipientHash`, asset, and status.
`wallet-ops-engine.js:329-383` surfaces the latest declaration and command drafts for external-wallet / sponsor-prize routes.",pass,"Covered by automated test suite (350 pass, 0 fail)",npm test,2026-07-08
120,Shell,Wallet / Demo Wallet,"As a player I want to see my balance, fund my wallet, collect payouts, and withdraw so that I can manage my game money.","`app.js:987-1012` supports `fundWallet`, `withdrawWallet`, `collectPayouts`, and `debitWallet`.
`lobby-app/app.js:264-284` provides the same three actions.
`src/wallet-engine.js:32-53` creates wallet accounts in `demo-credit`, `sponsor-prize`, or `real-money-readiness` modes.",pass,Demo wallet balance and transactions functional,visual audit,2026-07-08
121,Settlement,Compliance / Responsible Play Limits,As a regulated user I want daily stake limits and KYC checks enforced before real-money play so that I stay within safe boundaries.,"`compliance-engine.js:150-220` builds a readiness panel from `REAL_MONEY_GATES` and evaluates each gate with evidence.
`compliance-engine.js:231-256` tracks `daily-stake`, `weekly-stake`, `monthly-stake`, `cooldown`, and `max-entries-per-day` limits against exposures.
`src/settlement-engine.js:22-60` evaluates settlement readiness per mode (`none`, `demo`, `sponsor-prize`, `real-money`).",pass,"Covered by automated test suite (350 pass, 0 fail)",npm test,2026-07-08
122,Settlement,Dispute & Audit Bundle,As a player or host I want to dispute a settlement and receive an auditable event bundle so that contested outcomes can be reviewed.,"`dispute-engine.js:32-61` opens a dispute against receipts, results, pools, games, cards, drafts, markets, or room messages.
`dispute-engine.js:88-112` resolves disputes with `upheld`, `rejected`, `voided`, `corrected`, or `cancelled`.
`dispute-engine.js:114-142` creates an `AuditBundle` containing event summaries, dispute, and `eventRoot`.",pass,"Covered by automated test suite (350 pass, 0 fail)",npm test,2026-07-08
123,Shell,QVAC Live Commentary,"As a watch-party viewer I want grounded, multilingual commentary generated from the live feed so that I can follow the match without invented facts.","`qvac-referee.js:128-157` prompts for `recentEvents`, `currentStats`, and `roomPickDistribution` and returns JSON `{text, confidence}`.
`qvac-engine.js:73-115` creates `CommentaryFrame` records tied to feed events with `sourceFeedEventIds`.
`adapters.js:44-108` provides a demo commentary adapter that falls back to template text when no SDK is present.",pass,"Covered by automated test suite (350 pass, 0 fail)",npm test,2026-07-08
124,Peer Match,Peer-Match QVAC Attestation,As a peer-to-peer mini-game player I want each round attested by QVAC so that my opponent and I agree on the fair outcome.,"`peer-match.js:278-315` attests the trivia question bank.
`peer-match.js:390-410` attests forfeit rounds.
`peer-match.js:1136-1193`, `1319-1363`, `1489-1533`, and `1795-1843` attest penalty-clash, free-kick, buzzer-beater, and trivia rounds.
Attestations are stored in `PM.qvacAttestations` keyed by round/bank id.",pass,"Covered by automated test suite (350 pass, 0 fail)",npm test,2026-07-08
125,Lobby,Lobby Real-Money Mode Toggle,As a lobby user I want to switch between demo and real-money settlement so that I can choose my risk mode.,"`lobby-app/app.js:138-143` persists `settlementMode` (`'real'` or `'demo'`).
`lobby-app/app.js:988-1000` disables the real button and falls back to demo if readiness is incomplete.
`lobby-app/app.js:1019-1035` validates readiness before accepting a real-mode click and shows the gate if blocked.",info,"gateVisible=false, realSelected=false",puppeteer UI audit,2026-07-08
126,Shell,Bracket Settlement UI,"As a bracket pool player I want to see confirmed entries, payout status, audit hashes, and recipient addresses so that I can verify settlement transparency.","`app.js:3188-3230` renders Tether WDK rail card, pool card, entry ledger, payout recipient list, and audit card.
`app.js:1932-1962` renders each entrant with status label and proof id.
`app.js:1964-1972` maps processor statuses to labels (`Quoted`, `Broadcast`, `Prepared`, `Needs address`, `Held`).",pass,"Covered by automated test suite (350 pass, 0 fail)",npm test,2026-07-08
127,Games,Game Settlement UI,"As a mini-game player I want to see the escrow, QVAC attestation, and payout after a round so that I know whether I won the stake.","`app.js:4126-4314` creates escrow, submits commitments/reveals/state hashes, calls `settleGameRoundWithReceipt`, and renders `qvacAttestation`, `tetherEscrow`, and `tetherPayout`.
`postSettlementReceipt` (`app.js:1040-`) updates `state.wallet.pendingPayout` and shows a win/draw/loss toast.",pass,"Covered by automated test suite (350 pass, 0 fail)",npm test,2026-07-08
128,Settlement,Sponsor Prize Fulfillment,As a sponsor-prize winner I want to claim and track fulfillment of my non-cash prize so that I receive it after settlement.,"`src/settlement-engine.js:174-215` creates/updates `SponsorPrizeFulfillment` records with statuses `pending`, `claimed`, `fulfilled`, `disputed`, `cancelled`.
`wallet-ops-engine.js:223-270` exposes command drafts for claim/fulfill/dispute.",pass,"Covered by automated test suite (350 pass, 0 fail)",npm test,2026-07-08
129,Shell,FIT Selection & Loading,As a player I want the tournament shell to load the correct event theme from a link so that the UI matches the server I joined.,"`fit-loader.js` reads `?fit=<id>` or `window.ULTIMATE_SPORTS_FIT`, looks it up in `ULTIMATE_FIT_REGISTRY`, and falls back to `world-cup` if missing. It sets `window.CURRENT_FIT_ID`, `window.ULTIMATE_FIT_CONFIG`, and the document title.",pass,App loaded with ?fit=mma-boxing-fight-card and applied fit config,visual audit,2026-07-08
130,Shell / Backend,FIT Registry / Event Fit Catalog,"As an operator I want a catalog of reusable event templates (World Cup, March Madness, MMA, etc.) so that each tournament reuses the right data shape and assets.","`fits/_registry.js` provides `registerFit` and `defaultFitAssets`. `world-cup.js`, `generic-fits.js`, `mma-boxing-fight-card.js`, `awards-prediction-pools.js`, and `group-stage-fits.js` register 12 fits with `templateKind`, `teams`, `pools`, `theme`, etc. `src/catalog-engine.js` exposes `listEventFits` / `getEventFit`.",pass,Fit registry loaded and rendered fight-card theme,visual audit,2026-07-08
131,Shell,Theme Token Injection,As a player I want the shell to use the event’s color palette so that the brand feels specific to the tournament.,"`fit-loader.js` writes the fit’s `theme` object (e.g. `--ink`, `--surface`, `--green`, `--gold`) as inline CSS custom properties on `<html>`. `styles.css` consumes these tokens across surfaces, lines, and accents.",pass,Theme tokens applied correctly in light and dark modes,visual audit,2026-07-08
132,Shell,Neutral Client Skin with Fit Accent,As a P2P client user I want a consistent window chrome that still shows the server’s identity color so that I know which server I’m in.,"`client-skin.css` forces a neutral light/dark Win9x/Winamp-style chrome with `!important` and uses `--server-accent` (derived from the fit theme) for brand mark, selected states, buttons, and highlights.",pass,Win9x/Napster skin applied with fit-specific accent colors,visual audit,2026-07-08
133,Shell,Fit-Specific Dark Background,"As a player I want dark-themed events (MMA, awards) to have a dark page background so that the UI feels cohesive.","When a fit defines `background`, `fit-loader.js` adds the `fit-dark` class and sets `document.body.style.background`. `styles.css` suppresses the default bubble field via `.fit-dark::before { display:none }`.",pass,Dark mode renders fit-specific backgrounds,visual audit,2026-07-08
134,Shell,Arcade Theme for Combat Fits,As a fight-card player I want a Street Fighter-style VS screen and broadcast stage so that the combat event feels like a fight night.,"When a fit has an `arcade` block, `fit-loader.js` adds the `fit-arcade` class and injects an arcade VS screen into `#home .live-command` and a fight broadcast into `#watch .stadium-tv`. `client-skin.css` styles `.arcade-vs`, `.tv-fight`, and hides the soccer pitch/board.",pass,Arcade/combat theme rendered for MMA boxing fight card,visual audit,2026-07-08
135,Shell,Lazy Fit Asset Loading,As a mobile player I want heavy raster images to load only when needed so that the initial load stays fast.,"`lazy-fit-assets.js` observes `img[data-lazy-src]`, `source[data-lazy-srcset]`, and `[data-lazy-bg]` and upgrades them when they intersect a 200px root margin or the tab is hidden. `app.js` calls `window.LazyFitAssets.observe()` during boot if present.",pass,Fit assets loaded on demand without blocking boot,visual audit,2026-07-08
136,Shell,Hero Backdrop Asset Application,As a player I want the home hero to show a backdrop image specific to the event so that the landing screen feels branded.,`renderHomeHero()` in `app.js` reads `cfg.assets.heroBackdrop` from `ULTIMATE_FIT_CONFIG` and sets it as the background image of `#heroBackdrop`.,pass,Hero backdrop asset visible in home and watch views,visual audit,2026-07-08
137,Games,Fit-Aware Mini-Game Recommendations,As a player I want the Games tray to show mini-games relevant to the sport so that I can pick appropriate challenges.,"`fit-loader.js` populates `cfg.recommendedMiniGames` per fit (e.g. soccer gets `penalty-clash`, `free-kick-duel`; basketball gets `buzzer-beater-duel`). `app.js` uses these as the default list and exposes `ULTIMATE_MINI_GAME_TITLES` for display names.",pass,Mini-game tabs reflect fit-aware recommendations,visual audit,2026-07-08
138,Games,Fit-Aware Prediction Options,As a player I want prediction-duel options to match the event (e.g. KO/TKO/Decision for MMA) so that props make sense.,"`fit-loader.js` sets `cfg.predictionOptions` per fit. `peer-match.js` exposes them via `predictionOptions()`, and the live-market/prediction UI renders the options.",pass,Prediction options reflect fight-card fit,visual audit,2026-07-08
139,Games / Peer Match,Fit-Aware Trivia Bank,As a player I want trivia questions to be about the event I’m watching so that the trivia duel feels relevant.,`fit-loader.js` ships `ULTIMATE_TRIVIA_BANK` with 6 questions per fit. `peer-match.js` hashes the bank with `currentFitId()` and distributes it to peers for the trivia duel.,pass,"Covered by automated test suite (350 pass, 0 fail)",npm test,2026-07-08
140,Shell,Template Kind Rendering,"As a player I want the bracket/pick board to match the tournament format (knockout tree, group stage, fight card, awards card, etc.) so that I make the right kind of picks.","`app.js` reads `templateKind` from the fit config and switches rendering: `single-elimination`, `group-plus-knockout`, `series-playoff`, `round-robin`, `fight-card`, `awards-card`, or `creator-custom`. Board titles also update accordingly.",pass,Fit-specific templates rendered correctly,visual audit,2026-07-08
141,Lobby,Server Card Cover in Lobby,As a player browsing servers I want each server to show a themed cover image so that I can recognize the event visually.,"`lobby-app/app.js` renders each server row with `<img class=""srv-cover"" src=""..."">` using `server.coverUrl` from `data/servers.json`. The URLs point to `generated-assets/<fitId>/server-card-cover/cover.jpg`.",pass,Server card covers rendered in lobby browser,visual audit,2026-07-08
142,Lobby,FIT Format Badges in Lobby,As a player I want to see the tournament format at a glance so that I know what kind of pool I’m joining.,"`lobby-app/app.js` maps `fitId` to a human-readable format via `FIT_FORMATS` (e.g. `mma-boxing-fight-card` → `Fight card`, `awards-prediction-pools` → `Awards card`).",pass,Format badges rendered in server table,visual audit,2026-07-08
143,Asset Pipeline,Fit Asset Pack Generation,As an operator I want to generate all required images for a new event fit so that the shell and lobby have consistent artwork.,"`scripts/generate-fit-assets.js` builds a generation plan from `catalog-engine` and `tournament-experience-engine`, then creates 9 asset types per fit: 6 raster images via BigModel (`cogView-4`) and 3 local SVGs (lobby icon, pool accent, mini-game icon set). Supports `--fit`, `--all`, `--force`, `--dry-run`.",not tested,Build-time asset pipeline; verified via smoke:fits (73/73),manual review,2026-07-08
144,Backend,Tournament Experience Profiles,"As an operator I want each fit to carry experience metadata (skin name, visual tone, palette, live prompts) so that generated assets and UI descriptions stay consistent.","`src/tournament-experience-engine.js` defines 12 profiles with `serverSkin`, `visualTone`, `palette`, `apiAdapters`, `livePromptLexicon`, `customPanels`, `shellId`, `layoutMode`, and `bracketStyle`. These drive asset prompts and the operator dashboard.",not tested,Backend configuration; no runtime UI to exercise,manual review,2026-07-08
145,Operator,Operator Fit Readiness Dashboard,As an operator I want to see which fits are launchable and where assets stand so that I can decide what to ship.,"`app/app.js` renders the fit catalog, a fit readiness matrix (`fitReadinessPanel`) with asset/status columns, the tournament experience, GUI shell details, and an asset queue.",not tested,Operator dashboard not exposed in standard user flow,manual review,2026-07-08
146,Peer Match,Peer Match Fit Context,As a peer-to-peer player I want the game to use the current fit’s question bank and prediction options so that my opponent and I are playing the same event.,"`peer-match.js` reads `root.CURRENT_FIT_ID` and `root.ULTIMATE_FIT_CONFIG` to build the trivia bank and prediction options, and includes `fitId` in commitments and state hashes.",pass,"Covered by automated test suite (350 pass, 0 fail)",npm test,2026-07-08
147,Games,Live Market Event Options,As a player I want the “What happens next?” game to offer event-appropriate choices so that the prop is relevant.,"`app.js` reads `cfg.eventOptions` (fallback `['goal','corner','card','save']`) for the `next-event` game and `cfg.scorelineLabel` for `scoreline-lock`.",pass,Live market event options present in fit config,visual audit,2026-07-08
148,Games,Reaction Challenge Moments,As a player I want the reaction-tap game to use moments that match the event so that the challenge feels thematic.,`app.js` reads `cfg.reactionMoments`; if absent it falls back to `REACTION_DEFAULT_MOMENTS`.,pass,"Covered by automated test suite (350 pass, 0 fail)",npm test,2026-07-08
149,Shell,Embedded Shell Close Button,As a lobby user I want a visible back button when the shell opens inside the lobby so that I can return without closing the browser tab.,"When the shell is embedded (`self !== top`), `fit-loader.js` injects a `.shell-close-btn` into `.topbar` that posts `type: 'close-app'` to the parent.",pass,Added #closeShellBtn to titlebar; posts close-app message to parent lobby,puppeteer + visual check,2026-07-08
